time (s), (volts), (volts), (volts)
5695.41,0.60,-0.05,0.27
5695.42,0.60,-0.02,0.29
5695.43,0.60,0.02,0.30
5695.44,0.60,0.08,0.30
5695.45,0.60,0.12,0.28
5695.46,0.60,0.16,0.28
5695.47,0.60,0.19,-5.18
5695.48,0.60,0.22,-8.81
5695.49,0.60,0.24,-1.65
5695.50,0.60,0.26,0.09
5695.51,0.60,0.27,0.04
5695.52,0.59,0.27,-0.01
5695.53,0.60,0.27,-0.05
5695.54,0.60,0.27,-0.08
5695.55,0.60,0.26,-0.11
5695.56,0.60,-3.48,-0.13
5695.57,0.60,0.22,-0.15
5695.58,0.60,0.16,-0.16
5695.59,0.60,0.12,-0.16
5695.60,0.60,0.08,-0.17
5695.61,0.60,0.04,-0.16
5695.62,0.60,0.00,-0.14
5695.63,0.60,-0.04,-0.13
5695.64,0.60,-0.09,-0.11
5695.65,0.60,-0.13,-0.08
5695.66,0.60,-0.14,-0.05
5695.67,0.60,-0.17,-0.05
5695.68,0.60,-0.20,-0.62
5695.69,0.60,-0.19,-0.57
5695.70,0.60,-0.18,0.08
5695.71,0.60,-0.16,0.18
5695.72,0.60,-0.13,0.19
5695.73,0.60,-0.10,0.24
5695.74,0.60,-0.06,0.27
5695.75,0.60,-0.04,0.29
5695.76,0.60,0.00,0.30
5695.77,0.60,0.05,0.30
5695.78,0.60,0.11,0.30
5695.79,0.60,0.15,0.28
5695.80,0.60,0.18,-5.16
5695.81,0.60,0.21,-3.40
5695.82,0.60,0.23,0.15
5695.83,0.60,0.25,0.11
5695.84,0.60,0.26,0.06
5695.85,0.60,0.27,0.00
5695.86,0.60,0.27,-0.04
5695.87,0.60,0.27,-0.07
5695.88,0.60,0.26,-0.10
5695.89,0.60,0.24,-0.12
5695.90,0.60,0.21,-0.14
5695.91,0.60,0.18,-0.15
5695.92,0.60,0.13,-0.16
5695.93,0.60,0.10,-0.16
5695.94,0.60,0.06,-0.15
5695.95,0.60,0.01,-0.15
5695.96,0.60,-0.03,-0.13
5695.97,0.60,-0.07,-0.11
5695.98,0.60,-0.12,-0.08
5695.99,0.60,-0.15,-0.05
5696.00,0.60,-0.15,-0.06
5696.01,0.60,-0.20,-0.62
5696.02,0.60,-0.19,-4.19
5696.03,0.60,-0.18,-8.81
5696.04,0.60,-0.16,-3.43
5696.05,0.60,-0.14,0.18
5696.06,0.60,-0.11,0.23
5696.07,0.60,-0.07,0.26
5696.08,0.60,-0.06,0.28
5696.09,0.60,-0.02,0.29
